ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;
Date: 15.06.2022;;;;
Start time: 13:15:12;;;;
Stop time: 13:15:46;;;;
Overruns: 0  Errorframes: 0                                          ;;;;
Baudrate: 250 kbit/s;;;;
Time;Identifier (hex);Format;Flags;Data (hex)
00:15:26.871;70F;Std;;5
00:15:26.872;2AE;Std;;00 00 00 00 00 00 00 00
00:15:26.873;184;Std;;00 00 00 00 00 07 0F 01
00:15:26.873;3AF;Std;;00 00 00 00 00 00 00 00
00:15:26.875;188;Std;;00 02 00 00 00 02 01 51
00:15:26.883;284;Std;;31 02 E0 27 4A 20 11 00
00:15:26.892;384;Std;;AD 02 F8 01 F5 01 F7 01
00:15:26.902;484;Std;;00 00 00 00 00 00 00 00
00:15:26.907;42E;Std;;11 00 00 00 C0 78 00 08
00:15:26.908;52E;Std;;05 00 01 09 01 21 00 00
00:15:26.911;1AD;Std;;0C 00 01 01 05 01 01 00
00:15:26.912;24B;Std;;00 00 00 00 00 00 00 00
00:15:26.913;185;Std;;FD B3 49 F0 01 03 BB 33
00:15:26.913;24A;Std;;00 00 00 00 00 00 00 00
00:15:26.914;182;Std;;00 00 00 00 00 00 00 00
00:15:26.914;24C;Std;;00 00 00 00 00 00 00 00
00:15:26.914;712;Std;;5
00:15:26.916;282;Std;;00 00 00 00 DC 00 D8 00
00:15:26.918;382;Std;;01 00 01 00 4F 50 00 00
00:15:26.920;482;Std;;00 00 FB FF 00 00 18 01
00:15:26.922;183;Std;;E5 00 B9 00 FE 00 03 00
00:15:26.923;285;Std;;01 00 90 42 81 00 00 01
00:15:26.924;283;Std;;01 00 05 00 00 00 00 00
00:15:26.927;383;Std;;00 00 00 00 00 00 00 00
00:15:26.928;709;Std;;5
00:15:26.929;483;Std;;00 00 00 00 00 40 00 00
00:15:26.932;2AD;Std;;00 00 00 00 00 00 00 00
00:15:26.932;385;Std;;00 00 00 00 00 00 00 00
00:15:26.933;3AD;Std;;00 00 00 00 00 00 00 00
00:15:26.933;4AE;Std;;00 00 00 00 00 00 00 00
00:15:26.934;1AF;Std;;00 00 00 00 00 00 00 00
00:15:26.934;2AF;Std;;00 00 00 00 00 00 00 00
00:15:26.942;485;Std;;FA 01 FA 01 CE 02 00 00
00:15:26.946;80;Std;;
00:15:26.948;18B;Std;;01 00 00 00
00:15:26.949;28B;Std;;21 00 F3 FF 1A 00 5D 00
00:15:26.949;29B;Std;;C0 FF C0 FF BD FF BA FF
00:15:26.950;1FB;Std;;00 00 05 05 05 05 05 05
00:15:26.951;18F;Std;;00 20 05 00
00:15:26.951;4AD;Std;;20 00 00 00 00 00 00 00
00:15:26.952;1AE;Std;;00 00 00 00 00
00:15:26.952;48F;Std;;01 00 00 00 00 00
00:15:26.953;189;Std;;00 00 00 00 00 00 00 00
00:15:26.955;289;Std;;00 00 00 00 C4 00 C1 00
00:15:26.956;202;Std;;00 00 00 00 D4 30 D4 30
00:15:26.957;389;Std;;01 00 01 00 4F 50 00 00
00:15:26.957;302;Std;;00 00 CF 08 F4 01 00 00
00:15:26.958;402;Std;;00 00 00 00 00 00 00 00
00:15:26.958;209;Std;;00 00 00 00 D4 30 D4 30
00:15:26.959;309;Std;;00 00 CF 08 2C 01 00 00
00:15:26.959;489;Std;;00 00 FA FF 00 00 22 01
00:15:26.960;409;Std;;00 00 00 00 00 00 00 00
00:15:26.960;204;Std;;00 00 00 00 00 00 00 00
00:15:26.961;304;Std;;00 00 00 00 00 00 00 00
00:15:26.961;18A;Std;;D9 00 A8 00 D7 00 03 00
00:15:26.962;20F;Std;;00 04 04 04 01 00
00:15:26.962;20B;Std;;81 00 00 00
00:15:26.963;22E;Std;;00 00 00 00 00 07 07 00
00:15:26.963;28A;Std;;07 00 01 00 00 00 00 00
00:15:26.966;38A;Std;;00 00 00 00 00 00 00 00
00:15:26.968;48A;Std;;00 00 00 00 00 00 00 00
00:15:26.972;2AE;Std;;00 00 00 00 00 00 00 00
00:15:26.973;184;Std;;00 00 00 00 00 07 0F 01
00:15:26.973;3AE;Std;;00 00 00 00 00 00 00 00
00:15:26.974;3AF;Std;;00 00 00 00 00 00 00 00
00:15:26.975;188;Std;;00 02 00 00 00 02 01 52
00:15:26.983;284;Std;;31 02 E0 27 4A 20 11 00
00:15:26.993;384;Std;;AD 02 F8 01 F5 01 F6 01
00:15:26.999;702;Std;;5
00:15:27.002;484;Std;;00 00 00 00 00 00 00 00
00:15:27.007;22E;Std;;00 00 FF FF 00 07 07 00
00:15:27.008;42E;Std;;11 00 00 00 C0 78 00 09
00:15:27.008;52E;Std;;FF FA 02 5C 00 BB 01 83
00:15:27.012;1AD;Std;;0C 00 01 01 05 01 01 00
00:15:27.012;185;Std;;FD B3 49 F0 01 03 BB 33
00:15:27.014;24B;Std;;00 00 00 00 00 00 00 00
00:15:27.015;24A;Std;;00 00 00 00 00 00 00 00
00:15:27.015;24C;Std;;00 00 00 00 00 00 00 00
00:15:27.022;285;Std;;01 00 90 42 81 00 00 01
00:15:27.023;182;Std;;00 00 00 00 00 00 00 00
00:15:27.026;282;Std;;00 00 00 00 DC 00 D8 00
00:15:27.028;382;Std;;01 00 01 00 4F 50 00 00
00:15:27.030;482;Std;;00 00 FD FF 00 00 18 01
00:15:27.031;2AD;Std;;00 00 00 00 00 00 00 00
00:15:27.032;3AD;Std;;00 00 00 00 00 00 00 00
00:15:27.032;183;Std;;E5 00 B9 00 FE 00 03 00
00:15:27.033;385;Std;;00 00 00 00 00 00 00 00
00:15:27.034;283;Std;;01 00 05 00 00 00 00 00
00:15:27.037;383;Std;;00 00 00 00 00 00 00 00
00:15:27.039;483;Std;;00 00 00 00 00 00 00 00
00:15:27.042;485;Std;;FA 01 FA 01 CE 02 00 00
00:15:27.045;80;Std;;
00:15:27.047;18B;Std;;01 00 00 00
00:15:27.048;28B;Std;;1F 00 F3 FF 0F 00 5A 00
00:15:27.048;29B;Std;;BD FF C0 FF BD FF BD FF
00:15:27.049;1FB;Std;;00 00 05 05 05 05 05 05
00:15:27.051;18F;Std;;00 20 05 00
00:15:27.052;4AD;Std;;20 00 00 00 00 00 00 00
00:15:27.052;1AE;Std;;00 00 00 00 00
00:15:27.053;4AE;Std;;00 00 00 00 00 00 00 00
00:15:27.053;1AF;Std;;00 00 00 00 00 00 00 00
00:15:27.054;2AF;Std;;00 00 00 00 00 00 00 00
00:15:27.056;202;Std;;00 00 00 00 D4 30 D4 30
00:15:27.056;302;Std;;00 00 CF 18 F4 01 00 00
00:15:27.057;402;Std;;00 00 00 00 00 00 00 00
00:15:27.057;209;Std;;00 00 00 00 D4 30 D4 30
00:15:27.058;309;Std;;00 00 CF 18 2C 01 00 00
00:15:27.058;409;Std;;00 00 00 00 00 00 00 00
00:15:27.059;204;Std;;00 00 00 00 00 00 00 00
00:15:27.059;304;Std;;00 00 00 00 00 00 00 00
00:15:27.060;20F;Std;;00 04 04 04 01 00
00:15:27.060;20B;Std;;81 00 00 00
00:15:27.061;214;Std;;02 00 00 00 00 00 00 00
00:15:27.061;314;Std;;00 00 00 00 00 00 00 00
00:15:27.062;189;Std;;00 00 00 00 00 00 00 00
00:15:27.065;289;Std;;00 00 00 00 C4 00 C1 00
00:15:27.067;389;Std;;01 00 01 00 4F 50 00 00
00:15:27.069;489;Std;;00 00 FB FF 00 00 22 01
00:15:27.071;70F;Std;;5
00:15:27.071;18A;Std;;D9 00 A8 00 D7 00 03 00
00:15:27.072;2AE;Std;;00 00 00 00 00 00 00 00
00:15:27.073;3AE;Std;;00 00 00 00 00 00 00 00
00:15:27.073;184;Std;;00 00 00 00 00 07 0F 01
00:15:27.074;28A;Std;;07 00 01 00 00 00 00 00
00:15:27.074;3AF;Std;;00 00 00 00 00 00 00 00
00:15:27.075;188;Std;;00 02 00 00 00 02 01 53
00:15:27.076;38A;Std;;00 00 00 00 00 00 00 00
00:15:27.078;48A;Std;;00 00 00 00 00 00 00 00
00:15:27.080;70B;Std;;5
00:15:27.083;284;Std;;31 02 E0 27 4A 20 11 00
00:15:27.093;384;Std;;AC 02 F8 01 F5 01 F7 01
00:15:27.102;484;Std;;00 00 00 00 00 00 00 00
00:15:27.108;22E;Std;;00 00 00 00 00 07 07 00
00:15:27.109;42E;Std;;11 00 00 00 C0 78 00 0A
00:15:27.109;52E;Std;;08 08 00 05 00 00 F0 00
00:15:27.111;1AD;Std;;0C 00 01 01 05 01 01 00
00:15:27.112;185;Std;;FD B3 49 F0 01 03 BB 33
00:15:27.113;24B;Std;;00 00 00 00 00 00 00 00
00:15:27.114;24A;Std;;00 00 00 00 00 00 00 00
00:15:27.114;24C;Std;;00 00 00 00 00 00 00 00
