ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 15.06.2022
Start time: 13:51:01
Stop time: 13:51:09
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:51:15.595";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:51:15.595";"489";"Std";"";"00 00 FB FF 00 00 25 01"
"00:51:15.596";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.597";"18A";"Std";"";"D9 00 A9 00 D4 00 03 00"
"00:51:15.599";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:51:15.602";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.603";"185";"Std";"";"DD B3 49 00 00 03 83 33"
"00:51:15.604";"48A";"Std";"";"00 00 00 00 00 40 00 00"
"00:51:15.613";"285";"Std";"";"03 03 90 42 81 00 00 01"
"00:51:15.614";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.621";"80";"Std";"";""
"00:51:15.623";"18B";"Std";"";"01 00 00 00"
"00:51:15.623";"28B";"Std";"";"21 00 F6 FF 15 00 5A 00"
"00:51:15.623";"29B";"Std";"";"C0 FF C0 FF BD FF C0 FF"
"00:51:15.624";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:51:15.624";"385";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.629";"18F";"Std";"";"00 20 05 00"
"00:51:15.631";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:15.632";"302";"Std";"";"00 00 4F 08 F4 01 00 00"
"00:51:15.632";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.633";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:15.633";"485";"Std";"";"FA 01 FA 01 7E 02 00 00"
"00:51:15.634";"309";"Std";"";"00 00 4F 08 2C 01 00 00"
"00:51:15.634";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.635";"204";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.635";"304";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.636";"20F";"Std";"";"00 04 04 04 01 00"
"00:51:15.636";"20B";"Std";"";"81 00 00 00"
"00:51:15.641";"486";"Std";"";"38 00 00 00 A0 0A 00 00"
"00:51:15.642";"386";"Std";"";"0A 19 00 AA 80 02 80 02"
"00:51:15.649";"70F";"Std";"";"05"
"00:51:15.653";"188";"Std";"";"00 02 00 00 00 02 01 46"
"00:51:15.654";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:51:15.655";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.655";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.663";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.664";"184";"Std";"";"00 00 00 00 00 00 0F 01"
"00:51:15.665";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:51:15.667";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:15.670";"482";"Std";"";"00 00 FD FF 00 00 1C 01"
"00:51:15.672";"183";"Std";"";"E7 00 BA 00 FB 00 03 00"
"00:51:15.673";"284";"Std";"";"31 02 E0 27 4A 20 11 00"
"00:51:15.674";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:51:15.676";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.678";"483";"Std";"";"00 00 00 00 00 40 00 00"
"00:51:15.679";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.679";"1AE";"Std";"";"00 00 00 00 00"
"00:51:15.680";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
