ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 15.06.2022
Start time: 13:46:20
Stop time: 13:46:35
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:46:34.432";"18F";"Std";"";"00 20 05 00"
"00:46:34.432";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.434";"489";"Std";"";"00 00 FA FF 00 00 25 01"
"00:46:34.436";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:34.437";"18A";"Std";"";"D9 00 A9 00 D6 00 03 00"
"00:46:34.437";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.438";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:34.439";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:46:34.441";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.443";"48A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.448";"701";"Std";"";"05"
"00:46:34.452";"70F";"Std";"";"05"
"00:46:34.455";"188";"Std";"";"00 02 00 00 00 02 01 54"
"00:46:34.456";"1AE";"Std";"";"00 00 00 00 00"
"00:46:34.457";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.457";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.458";"42E";"Std";"";"11 00 00 00 C0 A0 00 05"
"00:46:34.458";"52E";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.462";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.463";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.463";"70B";"Std";"";"05"
"00:46:34.464";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.481";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.482";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.495";"80";"Std";"";""
"00:46:34.496";"18B";"Std";"";"01 00 00 00"
"00:46:34.497";"28B";"Std";"";"1F 00 F6 FF 12 00 58 00"
"00:46:34.497";"29B";"Std";"";"C0 FF C0 FF BD FF C0 FF"
"00:46:34.498";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:46:34.502";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.504";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:46:34.504";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.505";"302";"Std";"";"00 00 4F 18 F4 01 00 00"
"00:46:34.505";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.506";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.507";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.507";"309";"Std";"";"00 00 4F 18 2C 01 00 00"
"00:46:34.508";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.508";"20F";"Std";"";"00 04 04 04 01 00"
"00:46:34.508";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:46:34.509";"20B";"Std";"";"81 00 00 00"
"00:46:34.509";"22E";"Std";"";"00 00 00 00 00 07 07 00"
"00:46:34.511";"183";"Std";"";"E7 00 BA 00 FC 00 03 00"
"00:46:34.513";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:46:34.515";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.517";"483";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.518";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.518";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.519";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.528";"712";"Std";"";"05"
"00:46:34.532";"18F";"Std";"";"00 20 05 00"
"00:46:34.532";"48F";"Std";"";"01 00 00 00 00 00"
"00:46:34.536";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:34.537";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.537";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:34.538";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.540";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:46:34.542";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.544";"489";"Std";"";"00 00 FA FF 00 00 25 01"
"00:46:34.546";"18A";"Std";"";"D9 00 A9 00 D6 00 03 00"
"00:46:34.549";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:46:34.551";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.553";"48A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.555";"188";"Std";"";"00 02 00 00 00 02 01 55"
"00:46:34.557";"1AE";"Std";"";"00 00 00 00 00"
"00:46:34.557";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.558";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.558";"42E";"Std";"";"11 00 00 00 C0 A0 00 06"
"00:46:34.562";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.563";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.563";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.579";"709";"Std";"";"05"
"00:46:34.595";"80";"Std";"";""
"00:46:34.597";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.597";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.598";"18B";"Std";"";"01 00 00 00"
"00:46:34.599";"28B";"Std";"";"1F 00 F6 FF 12 00 55 00"
"00:46:34.599";"29B";"Std";"";"BD FF C0 FF C0 FF BD FF"
"00:46:34.600";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:46:34.605";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.605";"302";"Std";"";"00 00 4F 08 F4 01 00 00"
"00:46:34.606";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.606";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.607";"309";"Std";"";"00 00 4F 08 2C 01 00 00"
"00:46:34.607";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.608";"20F";"Std";"";"00 04 04 04 01 00"
"00:46:34.608";"20B";"Std";"";"81 00 00 00"
"00:46:34.609";"22E";"Std";"";"00 00 FF FF 00 07 07 00"
"00:46:34.612";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.614";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:46:34.616";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.617";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.618";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.618";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.619";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:46:34.621";"183";"Std";"";"E7 00 BA 00 FC 00 03 00"
"00:46:34.623";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:46:34.625";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.627";"483";"Std";"";"00 00 00 00 00 40 00 00"
"00:46:34.632";"18F";"Std";"";"00 20 05 00"
"00:46:34.636";"72D";"Std";"";"05"
"00:46:34.636";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:34.637";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.637";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:34.648";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.650";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:46:34.652";"70F";"Std";"";"05"
"00:46:34.652";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.653";"702";"Std";"";"05"
"00:46:34.654";"489";"Std";"";"00 00 FA FF 00 00 25 01"
"00:46:34.655";"188";"Std";"";"00 02 00 00 00 02 01 56"
"00:46:34.656";"1AE";"Std";"";"00 00 00 00 00"
"00:46:34.657";"18A";"Std";"";"D9 00 A9 00 D4 00 03 00"
"00:46:34.657";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.658";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.658";"42E";"Std";"";"11 00 00 00 C0 A0 00 07"
"00:46:34.659";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:46:34.659";"52E";"Std";"";"30 D4 30 D4 30 D4 30 D4"
"00:46:34.661";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.663";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.663";"48A";"Std";"";"00 00 00 00 00 40 00 00"
"00:46:34.664";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.665";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.696";"80";"Std";"";""
"00:46:34.696";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.697";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.697";"18B";"Std";"";"01 00 00 00"
"00:46:34.698";"28B";"Std";"";"1F 00 F6 FF 15 00 58 00"
"00:46:34.698";"29B";"Std";"";"BD FF C0 FF C2 FF BD FF"
