ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;;
Date: 15.06.2022;;;;;
Start time: 13:05:12;;;;;
Stop time: 13:05:48;;;;;
Overruns: 0  Errorframes: 0                                          ;;;;;
Baudrate: 250 kbit/s;;;;;
Time;Identifier (hex);Format;Flags;Data (hex);
00:05:26.607;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:26.608;302;Std;;00 00 CF 08 F4 01 00 00;
00:05:26.608;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:26.609;402;Std;;00 00 00 00 00 00 00 00;
00:05:26.609;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:26.610;309;Std;;00 00 CF 08 2C 01 00 00;
00:05:26.610;409;Std;;00 00 00 00 00 00 00 00;
00:05:26.611;204;Std;;00 00 00 00 00 00 00 00;
00:05:26.611;304;Std;;00 00 00 00 00 00 00 00;
00:05:26.612;20F;Std;;00 04 04 04 01 00;
00:05:26.612;20B;Std;;81 00 00 00;
00:05:26.617;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.617;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.618;384;Std;;C4 02 F8 01 F5 01 F7 01;
00:05:26.628;484;Std;;00 00 00 00 00 00 00 00;
00:05:26.635;72D;Std;;5;
00:05:26.635;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:26.636;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:26.636;392;Std;;00 01 C5 34 15 15 16 07;
00:05:26.637;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:26.637;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:26.638;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:26.640;182;Std;;00 00 00 00 00 00 00 00;
00:05:26.642;282;Std;;00 00 00 00 DC 00 D9 00;
00:05:26.645;382;Std;;01 00 01 00 4F 50 00 00;
00:05:26.647;482;Std;;00 00 FD FF 00 00 17 01;
00:05:26.648;285;Std;;01 00 90 42 81 00 00 01;
00:05:26.649;183;Std;;E5 00 B9 00 FF 00 03 00;
00:05:26.651;283;Std;;01 00 05 00 00 00 00 00;
00:05:26.653;383;Std;;00 00 00 00 00 00 00 00;
00:05:26.656;483;Std;;00 00 00 00 00 40 00 00;
00:05:26.656;1AE;Std;;00 00 00 00 00;
00:05:26.656;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.657;18F;Std;;00 20 05 00;
00:05:26.657;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.658;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.658;385;Std;;00 00 00 00 00 00 00 00;
00:05:26.659;42E;Std;;11 00 00 00 C0 78 00 0A;
00:05:26.659;52E;Std;;08 08 00 05 00 00 F0 00;
00:05:26.662;24B;Std;;00 00 00 00 00 00 00 00;
00:05:26.663;24A;Std;;00 00 00 00 00 00 00 00;
